model,technique,shot,cap,aspect,n,mean_latency_s,precision,recall,f1,rouge1_model,rouge2_model,rougeL_model,rouge1_oracle,rouge2_oracle,rougeL_oracle,oracle_gap_rougeL
gemma4_e2b,least_to_most,zero_shot,uncapped,challenge,100,3.730752071269089,0.4737222222222222,0.5512142857142858,0.47300455263690533,0.21761896494424235,0.08599730785287933,0.16096498878945312,0.4220026765441394,0.226199582941474,0.37142590290099414,0.2104609141115412
gemma4_e2b,least_to_most,zero_shot,uncapped,outcome,100,3.730752071269089,0.6635630480630479,0.7159671717171717,0.6493145759469283,0.25478027424460786,0.1253547061589756,0.19624686435030766,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.23222470558478528
gemma4_e2b,least_to_most,zero_shot,uncapped,union,100,3.730752071269089,0.6549395444951541,0.7079779936434094,0.6634148707371884,0.25484585508630764,0.11756445215530854,0.16379323769968795,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.1918101362884284
gemma4_e2b,negative_aware,one_shot,capped,approach,100,3.321392218261026,0.6268333333333332,0.5557950937950937,0.5672076648841351,0.23149278649033395,0.12148895445283509,0.18391596484191397,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2622624559919694
gemma4_e2b,negative_aware,one_shot,capped,challenge,100,3.321392218261026,0.4991666666666667,0.41938095238095235,0.4244511599511598,0.2487609867114924,0.09316801051370449,0.18493566591951305,0.4220026765441394,0.226199582941474,0.37142590290099414,0.1864902369814811
gemma4_e2b,negative_aware,one_shot,capped,outcome,100,3.321392218261026,0.6883333333333335,0.5610487012987011,0.5851167721167716,0.27386252387899784,0.11981387974287795,0.2105319778725685,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.21793959206252428
gemma4_e2b,negative_aware,one_shot,capped,union,100,3.321392218261026,0.7016682761682759,0.5321651487281955,0.593771557913341,0.3072186149693345,0.13488894642453264,0.19459084793056683,0.4572351445534136,0.22956935690972696,0.3556033739881162,0.16101252605754954
gemma4_e2b,negative_aware,one_shot,uncapped,approach,100,3.7601816626347135,0.6372914862914862,0.5934610389610389,0.587153495970833,0.2305281152301793,0.12326639522236099,0.1838435353046424,0.4897748197527478,0.29325174859619874,0.4461784208338833,0.2623348855292409
gemma4_e2b,negative_aware,one_shot,uncapped,challenge,100,3.7601816626347135,0.507047619047619,0.482702380952381,0.4517104562104559,0.23492543224638837,0.09185766838185876,0.17449361264356486,0.4220026765441394,0.226199582941474,0.37142590290099414,0.19693229025742923
gemma4_e2b,negative_aware,one_shot,uncapped,outcome,100,3.7601816626347135,0.6805897435897436,0.609541847041847,0.6102028527028521,0.26053056004233605,0.11588385947129062,0.19957321329034255,0.49672704879223367,0.26550581130613354,0.4284715699350929,0.2288983566447503
